design_id,split,d1,d2,d3,d4,d5,w1,w2,pitch_mm,height_mm,thickness_mm,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,strain,normalized_strain,reaction_N,lower_reaction_N,potential_energy_Nmm,stress_pnorm_MPa,stress_q99_MPa,maximum_stress_MPa,lower_platen_surface_mm,upper_platen_surface_mm,raw_solver_success,solver_accepted,solver_gradient_norm,solver_normalized_projected_gradient,solver_iterations,solver_message,solver_optimizer_method,solver_primary_success,solver_fallback_used,solver_independent_kkt_confirmed,solver_subdivision_count,solver_diagnostics_json,protocol_fingerprint,design_ledger_fingerprint
D002,train,0.1,0.11031758842521328,9.810294924228543,10.0,10.0,0.01831558917119717,0.17398410305320075,7.9,2.2,0.25,0.0033310446266827426,0.00367472810152405,0.32678530193524474,0.33310446266827426,0.01831558917119717,0.17398410305320075,0.27848101265822783,0.11363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,2.325,True,True,0.0,0.0,0.0,undeformed reference,reference,True,False,False,1,[],f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D002,train,0.1,0.11031758842521328,9.810294924228543,10.0,10.0,0.01831558917119717,0.17398410305320075,7.9,2.2,0.25,0.0033310446266827426,0.00367472810152405,0.32678530193524474,0.33310446266827426,0.01831558917119717,0.17398410305320075,0.27848101265822783,0.11363636363636363,0.05,0.2,3.4102057565499955,3.412553710919614,0.19075617923226695,8.958776466914957,10.959234403634676,10.96637501563431,-0.125,2.2150000000000003,True,True,0.0042292634686680874,1.1278035916448233e-05,400.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.05,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":400,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":400,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.0042292634686680874,""normalized_projected_gradient"":1.1278035916448233e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D002,train,0.1,0.11031758842521328,9.810294924228543,10.0,10.0,0.01831558917119717,0.17398410305320075,7.9,2.2,0.25,0.0033310446266827426,0.00367472810152405,0.32678530193524474,0.33310446266827426,0.01831558917119717,0.17398410305320075,0.27848101265822783,0.11363636363636363,0.1,0.4,6.4569385942891095,6.464199837010898,0.737249100585234,17.083733742000508,20.84226339259971,20.85601879979421,-0.125,2.105,True,True,0.0037539640419278486,1.0010570778474263e-05,392.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.1,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":392,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":392,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.0037539640419278486,""normalized_projected_gradient"":1.0010570778474263e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D002,train,0.1,0.11031758842521328,9.810294924228543,10.0,10.0,0.01831558917119717,0.17398410305320075,7.9,2.2,0.25,0.0033310446266827426,0.00367472810152405,0.32678530193524474,0.33310446266827426,0.01831558917119717,0.17398410305320075,0.27848101265822783,0.11363636363636363,0.15,0.6,9.11388256627179,9.108955175915181,1.597652248154224,24.048465698365746,29.229008553414566,29.2415732819106,-0.125,1.995,True,True,0.0053485891391149565,1.4262904370973217e-05,450.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.15,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":450,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":450,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.0053485891391149565,""normalized_projected_gradient"":1.4262904370973217e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D002,train,0.1,0.11031758842521328,9.810294924228543,10.0,10.0,0.01831558917119717,0.17398410305320075,7.9,2.2,0.25,0.0033310446266827426,0.00367472810152405,0.32678530193524474,0.33310446266827426,0.01831558917119717,0.17398410305320075,0.27848101265822783,0.11363636363636363,0.2,0.8,11.409350706240648,11.393442160094118,2.728681492315645,29.790313507051934,36.03434635837499,36.03453182085916,-0.125,1.8850000000000002,True,True,0.00476061756723678,1.269498017929808e-05,388.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.2,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":388,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":388,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.00476061756723678,""normalized_projected_gradient"":1.269498017929808e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D003,train,0.1,10.0,6.258829286082422,0.13192985137124502,6.520222395511445,0.1901488897935476,0.0,7.899453768874846,2.263247634293263,0.15,0.004345751173488268,0.4345751173488268,0.27199314714655426,0.0057333430641472085,0.1901488897935476,0.0,0.2865068523105779,0.06627644174997227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.075,2.338247634293263,True,True,0.0,0.0,0.0,undeformed reference,reference,True,False,False,1,[],f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D003,train,0.1,10.0,6.258829286082422,0.13192985137124502,6.520222395511445,0.1901488897935476,0.0,7.899453768874846,2.263247634293263,0.15,0.004345751173488268,0.4345751173488268,0.27199314714655426,0.0057333430641472085,0.1901488897935476,0.0,0.2865068523105779,0.06627644174997227,0.05,0.2,0.9415506771513686,0.9433122830323876,0.054791938765577745,6.598638161711924,8.097151986338032,8.106735583416373,-0.075,2.2250852525786002,True,True,0.0025161255311259845,1.1182780138337708e-05,798.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.05,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":798,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":798,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.0025161255311259845,""normalized_projected_gradient"":1.1182780138337708e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D003,train,0.1,10.0,6.258829286082422,0.13192985137124502,6.520222395511445,0.1901488897935476,0.0,7.899453768874846,2.263247634293263,0.15,0.004345751173488268,0.4345751173488268,0.27199314714655426,0.0057333430641472085,0.1901488897935476,0.0,0.2865068523105779,0.06627644174997227,0.1,0.4,1.7882267430126249,1.7872882373201562,0.21049332699200873,12.687593997903402,15.530304314149983,15.545626093907455,-0.075,2.111922870863937,True,True,0.003152903767884477,1.401290563504212e-05,673.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.1,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":673,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":673,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.003152903767884477,""normalized_projected_gradient"":1.401290563504212e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D003,train,0.1,10.0,6.258829286082422,0.13192985137124502,6.520222395511445,0.1901488897935476,0.0,7.899453768874846,2.263247634293263,0.15,0.004345751173488268,0.4345751173488268,0.27199314714655426,0.0057333430641472085,0.1901488897935476,0.0,0.2865068523105779,0.06627644174997227,0.15,0.6,2.522602161231159,2.5224025701269444,0.45482783857124737,18.146616551925412,22.14433002800319,22.163103581214767,-0.075,1.9987604891492738,True,True,0.0033643043304516507,1.4952463690896225e-05,862.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.15,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":862,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":862,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.0033643043304516507,""normalized_projected_gradient"":1.4952463690896225e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D003,train,0.1,10.0,6.258829286082422,0.13192985137124502,6.520222395511445,0.1901488897935476,0.0,7.899453768874846,2.263247634293263,0.15,0.004345751173488268,0.4345751173488268,0.27199314714655426,0.0057333430641472085,0.1901488897935476,0.0,0.2865068523105779,0.06627644174997227,0.2,0.8,3.155010189976396,3.1512563518868437,0.7765737620589306,22.923003570156567,27.876341683574417,27.894559584351608,-0.075,1.8855981074346106,True,True,0.003088406510719184,1.372625115875193e-05,767.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.2,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":767,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":767,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.003088406510719184,""normalized_projected_gradient"":1.372625115875193e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D004,test,0.1,0.1,7.215915895667447,0.10840553444940591,7.168416411980394,0.5049118850449811,0.4874718475762521,7.133527072312738,3.9765204959224865,0.25,0.006806083459372876,0.006806083459372876,0.4911212582172802,0.007378171149205781,0.5049118850449811,0.4874718475762521,0.5574410043744702,0.06286903343170225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,4.101520495922486,True,True,0.0,0.0,0.0,undeformed reference,reference,True,False,False,1,[],f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
D004,test,0.1,0.1,7.215915895667447,0.10840553444940591,7.168416411980394,0.5049118850449811,0.4874718475762521,7.133527072312738,3.9765204959224865,0.25,0.006806083459372876,0.006806083459372876,0.4911212582172802,0.007378171149205781,0.5049118850449811,0.4874718475762521,0.5574410043744702,0.06286903343170225,0.05,0.2,6.55412632933839,6.561718718243489,0.6914054134115496,16.021911107958843,19.181863842974217,19.193595832932818,-0.125,3.902694471126362,True,True,0.004688952054405782,1.2503872145082084e-05,622.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,L-BFGS-B,True,False,False,1,"[{""strain"":0.05,""subdivision"":1,""substep"":1,""optimizer_method"":""L-BFGS-B"",""selected_success"":true,""selected_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""selected_iterations"":622,""primary_success"":true,""primary_message"":""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"",""primary_iterations"":622,""fallback_used"":false,""fallback_success"":false,""fallback_message"":""not invoked"",""fallback_iterations"":0,""fallback_normalized_projected_gradient"":NaN,""independent_kkt_confirmed"":false,""projected_gradient_N"":0.004688952054405782,""normalized_projected_gradient"":1.2503872145082084e-05,""accepted"":true}]",f141ffbd04ef138b9650f2a9878eed8fa60e248adf3e7f5898dbf890fce55fc4,d06c8aa5a844044b059518a454bb52ff40e1addc084e0ee363b3e8e1614a100f
